Year,USD,EUR,GBP,INR,AED,CNY
2001,271,303,188,12789,996,2243
2002,310,328,206,15048,1137,2563
2003,363,321,222,16906,1334,3007
2004,409,329,223,18541,1503,3387
2005,444,358,245,19615,1632,3640
2006,604,480,328,27374,2218,4813
2007,695,507,347,28688,2554,5285
2008,872,593,472,37762,3203,6064
2009,972,697,621,47006,3571,6643
2010,1225,925,792,55974,4498,8283
2011,1572,1130,981,73469,5772,10148
2012,1669,1298,1053,89058,6130,10531
2013,1411,1064,904,82242,5183,8684
2014,1266,953,768,77230,4652,7802
2015,1160,1045,759,74313,4261,7285
2016,1251,1129,927,84007,4594,8306
2017,1257,1114,976,81854,4617,8487
2018,1268,1074,950,86651,4659,8384
2019,1393,1245,1093,98093,5115,9635
2020,1770,1549,1379,131203,6500,12200
2021,1799,1521,1307,132986,6606,11602
2022,1800,1710,1458,141287,6612,12097
2023,1850,1750,1500,145000,6700,12500
2024,1900,1800,1550,150000,6800,13000
